dataset,instancia,n,R,archivo
peor-caso-BT-O,BT-O-PC-1,1,1,instancias/peor-caso-BT-O/BT-O-PC-1.txt
peor-caso-BT-O,BT-O-PC-2,2,1,instancias/peor-caso-BT-O/BT-O-PC-2.txt
peor-caso-BT-O,BT-O-PC-3,3,1,instancias/peor-caso-BT-O/BT-O-PC-3.txt
peor-caso-BT-O,BT-O-PC-4,4,1,instancias/peor-caso-BT-O/BT-O-PC-4.txt
peor-caso-BT-O,BT-O-PC-5,5,1,instancias/peor-caso-BT-O/BT-O-PC-5.txt
peor-caso-BT-O,BT-O-PC-6,6,1,instancias/peor-caso-BT-O/BT-O-PC-6.txt
peor-caso-BT-O,BT-O-PC-7,7,1,instancias/peor-caso-BT-O/BT-O-PC-7.txt
peor-caso-BT-O,BT-O-PC-8,8,1,instancias/peor-caso-BT-O/BT-O-PC-8.txt
peor-caso-BT-O,BT-O-PC-9,9,1,instancias/peor-caso-BT-O/BT-O-PC-9.txt
peor-caso-BT-O,BT-O-PC-10,10,1,instancias/peor-caso-BT-O/BT-O-PC-10.txt
peor-caso-BT-O,BT-O-PC-11,11,1,instancias/peor-caso-BT-O/BT-O-PC-11.txt
peor-caso-BT-O,BT-O-PC-12,12,1,instancias/peor-caso-BT-O/BT-O-PC-12.txt
peor-caso-BT-O,BT-O-PC-13,13,1,instancias/peor-caso-BT-O/BT-O-PC-13.txt
peor-caso-BT-O,BT-O-PC-14,14,1,instancias/peor-caso-BT-O/BT-O-PC-14.txt
peor-caso-BT-O,BT-O-PC-15,15,1,instancias/peor-caso-BT-O/BT-O-PC-15.txt
peor-caso-BT-O,BT-O-PC-16,16,1,instancias/peor-caso-BT-O/BT-O-PC-16.txt
peor-caso-BT-O,BT-O-PC-17,17,1,instancias/peor-caso-BT-O/BT-O-PC-17.txt
peor-caso-BT-O,BT-O-PC-18,18,1,instancias/peor-caso-BT-O/BT-O-PC-18.txt
peor-caso-BT-O,BT-O-PC-19,19,1,instancias/peor-caso-BT-O/BT-O-PC-19.txt
peor-caso-BT-O,BT-O-PC-20,20,1,instancias/peor-caso-BT-O/BT-O-PC-20.txt
peor-caso-BT-O,BT-O-PC-21,21,1,instancias/peor-caso-BT-O/BT-O-PC-21.txt
peor-caso-BT-O,BT-O-PC-22,22,1,instancias/peor-caso-BT-O/BT-O-PC-22.txt
peor-caso-BT-O,BT-O-PC-23,23,1,instancias/peor-caso-BT-O/BT-O-PC-23.txt
peor-caso-BT-O,BT-O-PC-24,24,1,instancias/peor-caso-BT-O/BT-O-PC-24.txt
peor-caso-BT-O,BT-O-PC-25,25,1,instancias/peor-caso-BT-O/BT-O-PC-25.txt
peor-caso-BT-O,BT-O-PC-26,26,1,instancias/peor-caso-BT-O/BT-O-PC-26.txt
peor-caso-BT-O,BT-O-PC-27,27,1,instancias/peor-caso-BT-O/BT-O-PC-27.txt
peor-caso-BT-O,BT-O-PC-28,28,1,instancias/peor-caso-BT-O/BT-O-PC-28.txt
peor-caso-BT-O,BT-O-PC-29,29,1,instancias/peor-caso-BT-O/BT-O-PC-29.txt
peor-caso-BT-O,BT-O-PC-30,30,1,instancias/peor-caso-BT-O/BT-O-PC-30.txt
